Length: 4 	 HeadProb: 0.700000 	 RepTime: 1000
A    vs B    | A's Winning Rate

THHH vs HTHH | 0.322000
HHHT vs HHHH | 0.285000
HTHH vs HHTH | 0.283000
TTHH vs HTTH | 0.240000
HHHH vs THHH | 0.228000
HHTH vs HHHT | 0.214000
HTTH vs HHHT | 0.178000
THTH vs HHHT | 0.177000
THHT vs HTHH | 0.168000
HHTT vs HHHT | 0.123000
HTHT vs HHTH | 0.109000
TTHT vs HHHT | 0.108000
THTT vs HHTH | 0.103000
HTTT vs HHHT | 0.084000
TTTH vs HTTT | 0.028000
TTTT vs HTTT | 0.010000
