Length: 4 	 HeadProb: 0.600000 	 RepTime: 1000
A    vs B    | A's Winning Rate

THHH vs HTHH | 0.376000
TTHH vs HTTH | 0.373000
HTHH vs HHTH | 0.356000
THTH vs HHTH | 0.305000
THHT vs HTHH | 0.301000
HHTH vs HHHT | 0.295000
HTTH vs HHTT | 0.271000
THTT vs HTHT | 0.240000
HHTT vs HHHT | 0.230000
TTHT vs HHTT | 0.226000
HTTT vs HHHT | 0.213000
HHHT vs THHH | 0.204000
HTHT vs HHTH | 0.174000
HHHH vs THHH | 0.130000
TTTH vs HTTT | 0.053000
TTTT vs HTTT | 0.017000
