Length: 4 	 HeadProb: 0.500000 	 RepTime: 1000
A    vs B    | A's Winning Rate

HTHH vs THTH | 0.373000
THTT vs HTHT | 0.362000
HTTH vs HHTT | 0.355000
HTTT vs HHTT | 0.354000
TTHT vs TTTH | 0.349000
TTHH vs TTTH | 0.347000
HHTT vs HHHT | 0.338000
HHTH vs HHHT | 0.330000
THHT vs TTHH | 0.328000
THHH vs TTHH | 0.323000
THTH vs TTHT | 0.293000
HTHT vs HHTH | 0.280000
HHHT vs THHH | 0.124000
TTTH vs HTTT | 0.116000
HHHH vs THHH | 0.073000
TTTT vs HTTT | 0.071000
