Length: 4 	 HeadProb: 0.900000 	 RepTime: 1000
A    vs B    | A's Winning Rate

HHHH vs THHH | 0.689000
THHH vs HTHH | 0.162000
HHHT vs HHHH | 0.111000
HTHH vs HHTH | 0.100000
HHTH vs HHHT | 0.100000
TTHH vs HHHT | 0.037000
THTH vs HHTH | 0.027000
THHT vs HTHH | 0.024000
HTHT vs HHTH | 0.014000
HTTH vs HHHT | 0.012000
HHTT vs HHHT | 0.010000
HTTT vs HHHT | 0.002000
THTT vs HHHT | 0.002000
TTHT vs HHHT | 0.002000
TTTH vs HTTT | 0.000000
TTTT vs HTTT | 0.000000
